"","Geneid","log2FC_CvsOH","padj_CvsOH","GeneSymbol","biotype"
"149","ENSG00000267396",-1.07610234757438,1.10464552750122e-17,"AC090236.1","lncRNA"
"150","ENSG00000267484",-1.26138290163178,1.81412893771673e-23,"AC027319.1","lncRNA"
"151","ENSG00000267904",-1.23792559319244,0.00725572992752462,"AC024075.1","lncRNA"
"152","ENSG00000268047",-1.02516366494037,5.66214301765373e-14,"AC018766.1","lncRNA"
"153","ENSG00000268191",-3.92489384959589,0.00238077517395938,"AC010503.2","lncRNA"
"154","ENSG00000268262",-2.47960309545182,8.41191037407684e-09,"AC011445.1","lncRNA"
"155","ENSG00000268573",-1.23175301823262,1.61628679124254e-07,"AC011815.1","lncRNA"
"156","ENSG00000268938",-1.73523458529097,0.0317618948135152,"AC005387.1","lncRNA"
"157","ENSG00000269292",-1.21105652315026,1.35446214637136e-59,"AC093503.2","lncRNA"
"158","ENSG00000269807",-1.14089029905315,0.0354275058383036,"AC007292.3","lncRNA"
"159","ENSG00000269899",-2.18883169902269,6.98034189743551e-08,"AC025857.2","lncRNA"
"160","ENSG00000269926",-1.43972648366537,2.28677201332752e-66,"DDIT4-AS1","lncRNA"
"161","ENSG00000269927",-1.87966678735661,0.00163963412503771,"AC004817.3","lncRNA"
"162","ENSG00000269949",-1.61221061253559,0.020102560121837,"AC069307.1","lncRNA"
"163","ENSG00000269968",-1.28882791028794,9.21769508749247e-52,"AC006064.4","lncRNA"
"164","ENSG00000270012",-1.26804177404481,2.08911913845243e-05,"AC232271.1","lncRNA"
"165","ENSG00000270060",-1.05616233650509,0.0226851686314392,"AC090589.3","lncRNA"
"166","ENSG00000270147",-1.25390145129656,3.63048487788176e-08,"AC068620.2","lncRNA"
"167","ENSG00000270277",-2.30389648623753,0.000291980107986593,"AC009948.2","lncRNA"
"168","ENSG00000270574",-1.33660839761081,1.80200531623246e-05,"AC010680.2","lncRNA"
"169","ENSG00000270823",-1.27853035456125,1.09161129272755e-13,"AC007938.2","lncRNA"
"170","ENSG00000271795",-1.95406120398304,1.02180698253566e-08,"AC011337.1","lncRNA"
"171","ENSG00000272087",-1.21358824944367,0.0101171154556345,"AC080013.4","lncRNA"
"172","ENSG00000272159",-1.41245990450493,1.83136763829689e-23,"AC087623.3","lncRNA"
"173","ENSG00000272182",-1.40975316552338,1.86588509080418e-23,"AC135507.1","lncRNA"
"174","ENSG00000272211",-3.29001828772827,0.0359273886119549,"AC114760.2","lncRNA"
"175","ENSG00000272263",-1.44301744965139,0.0429805813292485,"AC034198.2","lncRNA"
"176","ENSG00000272369",-1.13203591200406,0.0378059158158666,"AC008035.1","lncRNA"
"177","ENSG00000272382",-1.24872707078218,0.00172468943727667,"AC025171.5","lncRNA"
"178","ENSG00000272716",-1.53039306926957,0.00464418000608562,"AL121658.1","lncRNA"
"179","ENSG00000272764",-1.59187421030635,0.00847578086475136,"AL596094.1","lncRNA"
"180","ENSG00000272777",-1.49171504638656,0.000593174377596416,"AC019131.2","lncRNA"
"181","ENSG00000272787",-1.5377727529378,0.00577172787619402,"AC253536.6","lncRNA"
"182","ENSG00000272825",-1.75955644823155,0.000471892884516969,"AL844908.1","lncRNA"
"183","ENSG00000272853",-1.01521893927544,0.00405169738388477,"AC069544.1","lncRNA"
"184","ENSG00000272858",-4.49555074393216,0.00736034765401601,"Z93930.3","lncRNA"
"185","ENSG00000272977",-1.36974524244962,4.13740519819278e-08,"AL008721.2","lncRNA"
"186","ENSG00000273055",-1.14568000244255,0.00036849879873809,"AC005046.2","lncRNA"
"187","ENSG00000273117",-1.10991695227116,2.61276444075877e-05,"AC144652.1","lncRNA"
"188","ENSG00000273129",-3.76419455453537,0.0314080987383488,"PACERR","lncRNA"
"189","ENSG00000273181",-3.18815553867741,0.0451984933922519,"AC131235.4","lncRNA"
"190","ENSG00000273306",-1.28096521886015,0.00139816150994328,"AC018690.1","lncRNA"
"191","ENSG00000273361",-1.24599768812712,0.00267220929934408,"AC021016.3","lncRNA"
