"","mRNA_id","mRNA_log2FC_OH","mRNA_padj_OH","mRNA_GeneSymbol","lncRNA_id","lncRNA_log2FC_OH","lncRNA_padj_OH","lncRNA_GeneSymbol"
"63","ENSG00000109107",-1.86816530645056,3.45555871489084e-92,"ALDOC","ENSG00000265168",-1.70897082538722,1.87525476506308e-52,"AC005726.3"
"64","ENSG00000109670",2.67983405262682,4.37128312592571e-198,"FBXW7","ENSG00000270751",2.79624325525187,1.19263474670034e-39,"FBXW7-AS1"
"65","ENSG00000110427",-2.62173801578512,2.25019958002606e-08,"KIAA1549L","ENSG00000255202",1.63427796074329,0.00340525107207796,"AL049629.1"
"66","ENSG00000111145",-1.18254910453237,8.3162154857387e-22,"ELK3","ENSG00000258177",-1.18861090840247,1.65050613392199e-17,"AC008149.1"
"67","ENSG00000111640",-1.42306926705536,6.46823497621898e-104,"GAPDH","ENSG00000269968",-1.28882791028794,9.21769508749247e-52,"AC006064.4"
"68","ENSG00000112245",1.29319394418843,8.08468719852507e-94,"PTP4A1","ENSG00000266680",2.58006410127645,4.22489596607769e-43,"AL135905.1"
"69","ENSG00000112972",-2.91777369595121,0,"HMGCS1","ENSG00000261604",-2.39149986897153,1.69414288919304e-82,"AC114947.2"
"70","ENSG00000113196",4.06718764996768,1.0924369707755e-05,"HAND1","ENSG00000254293",2.33904310120913,0.00802149035394411,"AC026688.2"
"71","ENSG00000113658",1.16635863820985,1.77305485437739e-17,"SMAD5","ENSG00000164621",1.66140215278371,0.000695649112598816,"SMAD5-AS1"
"72","ENSG00000114353",-1.02357864750058,2.1664092250374e-62,"GNAI2","ENSG00000230454",2.5474208515871,3.78007876969358e-12,"U73166.1"
"73","ENSG00000114933",1.33936595764898,0.000304559286311734,"INO80D","ENSG00000225610",1.59971445545374,1.29176586252147e-05,"AC007679.2"
"74","ENSG00000115297",5.48172864426165,5.01993961908335e-05,"TLX2","ENSG00000257702",2.07223242125042,7.48331744205333e-53,"LBX2-AS1"
